dim1,dim2
0.32214746,-18.904495
0.22111325,-18.696257
11.719986,11.285857
11.116009,12.213002
6.4997053,-0.2511131
0.4622682,-18.146318
12.595885,11.445591
9.479788,-1.105006
6.071683,-1.7308623
1.916595,-18.868498
7.5276184,0.76031613
10.992422,11.4801235
1.5073147,-21.794823
10.655252,-13.020698
1.5783279,-19.878052
8.917605,0.64112186
8.942906,-0.29421028
11.908168,12.753726
5.8254514,-2.7748237
0.83570653,-19.8664
6.977329,-2.198506
1.8740257,20.92841
8.903144,0.986549
8.374036,0.03782335
2.7690206,-22.948505
7.759826,-1.082854
5.9686756,-3.6989484
9.410401,0.11186937
5.953,-0.5961726
2.2682695,-20.353373
3.3791084,-23.490189
9.693769,-1.1353109
11.54348,13.082473
8.475054,-4.774388
5.5782285,-1.9832562
7.6980357,0.2601561
5.4693255,-22.4778
7.5449243,-4.180333
1.5042322,-20.797903
10.387893,-13.390581
6.5797267,-1.8247032
6.8199873,1.9863982
4.877987,-6.5804405
1.1636326,-19.630695
6.376031,-4.0262933
5.551732,-3.2285907
2.5584872,-18.984966
11.47636,9.615065
10.58542,-1.6896306
9.669828,-0.8022723
6.265369,-20.11288
14.113675,8.794525
2.35421,-19.66969
5.7510734,1.2811499
8.163611,-4.1626296
4.615004,-19.007982
5.9488835,-2.5546021
-0.097673796,-19.260147
5.025808,-21.792545
9.187434,1.1162143
2.050944,-18.486544
3.9580889,-22.275145
7.758176,-3.4486868
5.797693,0.07380234
10.560846,-13.384785
9.396974,0.6171922
7.7179527,-4.2572103
2.1237507,20.880384
4.1701183,-21.998972
0.5989028,-20.17381
4.1068773,1.7395704
8.702497,-4.633851
3.782606,-23.55596
6.2706747,-1.9369996
2.8692858,21.309456
2.3418949,-19.572834
9.113214,0.08583118
7.7816267,-3.9626362
2.8383074,-20.930027
9.859977,0.5671274
12.674316,11.163322
6.0540404,-20.140377
9.639509,0.22762726
9.753217,-1.6790991
10.95975,-1.5548675
12.542457,11.658901
8.272586,-3.5516293
8.406489,-2.6144621
4.4842153,-19.77282
1.502503,-21.025108
10.703377,11.172199
11.793583,9.491271
14.608428,8.864733
1.1376358,-21.557522
1.675934,-18.67402
8.392654,-4.0891995
6.609578,-0.5019102
9.638973,-3.517472
8.943635,-1.1766677
7.3826494,-4.1269736
10.425259,-0.25673884
1.900978,20.857449
11.617421,11.459153
8.169161,-3.2709668
0.39662397,-19.404509
5.593874,-3.199698
14.709284,9.026084
10.923943,-13.577346
0.3009856,-19.728142
2.3622465,20.691265
12.048988,10.068359
5.933097,1.5307521
14.477586,9.631498
9.710002,-0.8083862
6.943836,-1.686019
2.9239786,-18.685722
1.082104,-22.120457
5.765816,-0.18274078
1.4212463,-22.504673
10.8123045,0.13668396
10.958561,12.496846
4.0112386,-19.627277
5.0167756,-21.9606
4.4946947,-19.625301
10.576262,0.5721865
0.49694806,-20.187876
9.434225,-2.4770534
6.7685366,-3.8960547
3.9089172,-22.57488
6.426434,-20.002089
1.153044,-18.71648
2.2045586,20.526934
7.122826,1.795262
5.505559,1.5599043
4.8590937,-6.5463796
6.222198,-19.944065
8.140921,-3.9087758
3.9386735,-20.27351
2.6340146,21.70148
14.958845,9.074094
9.240317,-3.481665
0.6725202,-22.090244
7.110036,-1.5470835
1.331653,-21.273361
14.954628,9.013391
10.23046,-0.35583216
3.155321,-19.4056
0.03325459,-19.195702
4.0125837,1.1962092
10.699451,10.715259
2.6791801,-19.204088
6.8398147,-1.7459588
0.658063,-21.368252
2.9674559,-20.145346
10.19396,0.3419272
5.9904814,-1.995675
7.20985,-0.19074325
-0.30536684,-18.754326
8.406277,-4.763267
8.689262,0.36122894
3.908207,1.8383474
10.210315,-3.6073956
2.4660408,20.898941
2.1833172,-18.214056
4.263207,2.317839
9.947822,-1.6768414
5.1082673,0.87051904
13.135675,10.969815
5.155703,2.1816587
4.8056135,1.8636118
6.237859,-2.8049324
5.3183026,-22.005405
2.9376101,-19.508455
1.1893952,-18.922676
2.4694033,-18.65884
3.5462072,-19.589903
3.7719839,-21.793568
7.8782144,1.3020843
11.383766,10.377417
6.540091,-2.9031994
10.149,-0.09283255
3.23157,-20.278479
0.3091405,-20.007698
9.422735,0.055077996
8.099877,-2.7035136
4.595478,1.5804017
8.570792,-0.81812835
6.894291,-1.981401
12.726038,11.528212
5.0092726,-6.3278847
-0.17751878,-20.583534
4.791068,2.217621
11.011017,10.82832
6.468176,-2.659566
11.014318,-1.6596403
0.57488495,-20.215904
-0.2916643,-20.115429
2.1283433,-21.546566
4.4253597,-18.865126
1.5556157,-21.078129
8.287472,-0.72313875
3.3460867,-21.97761
6.5071936,1.8654549
4.4534345,-22.279736
11.426605,11.779941
7.76325,-1.8002973
8.656828,1.113708
14.808493,9.18883
5.2164335,-23.032848
3.3220263,-22.315878
8.060117,0.6614059
4.1840405,-21.818115
2.9608994,-20.856485
8.291273,-2.2432036
10.547234,11.578496
6.3319826,0.9156192
2.496463,-20.714663
13.14755,11.177556
2.7989826,-18.765522
4.721394,-19.222775
0.4727986,-18.664545
10.84336,-13.144345
6.7450686,-1.5378295
5.978552,0.91616774
14.773445,9.473871
5.523769,-2.0788527
11.664828,9.752465
7.6855493,-0.30026662
1.5680362,-20.361864
-0.24009228,-20.82504
8.319409,-4.4013596
4.2946553,-23.009844
4.9201555,-22.418247
4.397288,-21.822565
1.3651007,-20.733902
11.242307,12.104862
-0.3655935,-21.18609
5.288163,-22.945784
2.4927676,21.885195
8.19263,0.65266657
11.66233,12.510162
6.5847797,-0.62211823
4.0263577,-23.398062
5.855845,-3.0393631
0.59130293,-19.789408
1.880658,-21.024647
5.986001,0.88906515
7.345199,-0.70704305
6.48978,-1.992091
7.629314,-2.6652246
7.8532104,-3.450596
11.242234,12.42273
3.1081991,-20.366047
0.48608074,-20.493658
6.8826413,1.2798984
1.9246553,-20.101574
9.891766,1.0273576
10.411707,-0.7754481
8.756885,-1.382724
7.127668,-2.8543754
6.4177384,-3.1094644
1.8889713,-19.163033
9.954165,-2.0409603
9.0605135,-1.3163018
9.058138,-0.79131776
7.811384,-0.7693311
0.7402568,-20.1033
10.410078,11.451285
5.969067,-0.40765876
2.9611888,-19.922707
14.50974,8.962796
6.430798,-2.369744
4.915164,-21.652218
1.4556093,-18.323854
6.9834743,-2.026544
4.254076,-21.735806
9.96911,-3.6004782
10.805047,-13.275568
7.3869925,-3.788991
10.2842245,-13.102301
1.1574348,-22.217642
7.1274924,-0.99060607
12.102745,11.658642
10.561843,-13.373316
11.051575,10.46999
7.3237576,-0.6912579
10.880696,11.000832
8.636876,-0.13908435
8.5058775,-3.720579
8.155175,-4.448491
3.042873,-23.567238
14.076315,9.221769
9.837246,-2.9260561
0.80406916,-18.656471
5.1918817,-21.959442
4.2939687,1.1413795
7.1474032,-2.5116057
10.043051,-0.9905408
10.275604,-3.4758387
-0.27576244,-21.213282
6.201652,-3.6050313
0.08868511,-20.69044
1.6757662,21.113052
14.466772,8.872968
5.143372,-22.816303
8.143688,-4.6439915
10.530707,11.861387
0.6893632,-18.729166
7.306727,-3.308443
1.637608,-18.278349
8.889483,1.1701002
12.821549,10.893621
8.814941,-0.555738
11.865965,11.3312235
0.4349344,-19.645811
0.66499746,-20.57438
1.6423987,-21.094194
5.9174213,-2.9175708
1.7503966,-21.18577
1.418903,-19.783316
9.347483,0.87051
4.86513,-6.6019473
2.826267,-20.956259
10.706686,12.540055
5.274671,-1.4844282
12.791328,11.277578
7.2131157,-3.2811759
4.7819037,2.2624946
9.35141,-0.31236526
4.7089925,-6.693328
10.13486,-2.441681
12.988022,10.921248
2.6746514,21.574755
10.257578,-13.132764
3.5348024,-23.334673
6.716451,-1.3896247
1.3195356,-19.797659
4.4953437,2.2483602
1.0151334,-19.977064
5.020991,-6.4215875
3.9058821,-22.705748
4.3325706,2.1678152
10.035538,-0.55149615
8.977087,-1.4352971
11.329934,9.915551
2.8468976,21.253233
10.725947,-12.810688
9.125281,-1.6935806
9.300295,0.47737136
8.280874,-4.1279306
4.335761,-23.186157
5.710235,1.01314
0.98322946,-20.390234
5.83375,-2.3760245
6.965291,-3.31243
2.0207257,-19.474255
8.942287,-0.72042507
6.922097,-2.5531461
4.4337173,1.4572384
7.99429,1.1710047
8.752915,1.0822859
4.806979,-6.8050485
10.559953,11.262312
11.120279,10.824631
0.79913265,-19.032164
1.4027578,-19.904982
3.8930342,-18.636639
7.00924,-1.5924605
11.3598995,13.244345
8.501481,-2.0529368
7.222352,-0.5066044
6.3612623,1.7211201
4.423252,1.7227051
3.6832132,-20.463787
8.0306015,-4.724981
11.800533,12.989468
5.3902225,-0.35245782
8.30098,0.05373894
6.3793716,-0.73938817
7.1799054,-1.8571397
10.451434,0.5721945
10.226018,0.049849115
3.1319137,-23.501064
4.3802834,-18.705761
11.336702,10.6963005
9.541262,-0.23445018
2.049456,-19.286663
8.021453,-2.7601984
10.901849,-1.4818462
3.5259895,-19.325466
2.5426447,-21.232786
8.244668,1.247298
10.630289,-0.5207577
0.9069319,-18.30019
1.2220144,-20.889221
11.824322,10.603612
7.2577243,-1.499024
7.210283,1.0361291
9.594345,-0.8121183
3.7773688,-21.98511
6.3091135,-2.5927062
3.253195,-20.454554
4.270936,-23.25954
2.9099169,-20.88329
12.8212185,10.650064
9.801697,-3.4691746
3.1057181,-19.979101
1.9911585,-20.017214
0.30450153,-21.043734
6.497778,-0.35491118
2.1579893,-19.909233
4.092893,1.234252
9.581256,0.26517302
2.3380566,20.58997
5.61941,-0.34798014
3.294668,-23.036098
14.2875595,8.949092
8.872577,-0.47274223
5.860683,-20.025043
6.1224575,-3.7419147
7.442443,-0.52595586
11.492919,13.206557
10.53557,-0.37555638
