dim1,dim2
8.317054,8.910175
5.6912665,7.808836
4.891268,5.011806
5.096634,10.003415
7.6742883,8.933761
4.685785,8.269427
7.393032,10.540766
5.612753,5.711435
6.183245,8.019595
4.6798816,6.56886
5.7963257,8.518958
7.9345307,9.554921
4.8230634,9.43865
5.465836,8.179128
6.079659,9.220624
4.3686123,7.4792438
4.6936755,8.438312
5.5073867,8.365543
3.5593028,10.253963
4.8201604,5.7658005
5.356397,7.1142936
7.764548,6.747416
3.309445,9.558281
5.594414,9.760641
3.0409596,7.004656
7.4236116,8.34141
7.461896,7.4824204
6.2500596,9.652434
6.258092,6.4702244
4.4181337,5.729669
3.9765232,8.742128
6.872271,7.963604
6.7547426,8.561494
6.96535,7.167769
7.2918096,9.567538
3.017666,7.679047
6.188216,8.01137
7.2425346,7.9666567
6.6178055,5.8740063
5.5598025,4.8913217
5.550787,5.2439876
3.9240034,9.796968
3.1653662,8.669589
6.297103,10.407287
4.629518,8.784258
7.7353363,7.6205473
4.919621,6.1270766
7.3316946,6.657591
4.2718024,7.220857
6.386541,7.4794073
6.4192853,11.025998
4.768634,10.333764
5.5497227,9.278438
4.6605453,9.423395
7.1930375,9.068804
4.4989886,10.758819
4.561569,7.738703
4.951189,7.850149
3.2881393,6.6287746
8.472904,7.672157
5.4350395,5.5946503
5.354393,9.705599
6.2974777,7.1837173
4.8328238,6.6051154
3.8066673,6.2804036
8.1416,7.96765
7.8368797,7.592812
5.629967,10.8335
7.714648,6.213669
6.049083,8.989086
3.8968482,8.969048
6.757601,6.7735114
6.0515766,6.0192957
6.761525,6.55197
6.0589924,7.67251
6.177077,5.844608
7.5068507,10.103175
3.308612,8.554336
5.3666167,8.006466
3.605858,6.8455524
7.200896,7.9113164
6.5446787,9.161649
6.1945844,10.428798
6.445903,6.5405917
5.2703123,10.406152
3.5627813,7.4035516
8.422189,9.012966
6.3126082,8.401057
5.8381867,7.001302
2.9878223,7.9454007
3.2818115,10.025026
7.4996905,9.030638
4.411417,6.74939
8.30039,8.290904
6.9357615,10.077169
6.702605,8.246114
6.4285107,9.692188
5.142454,9.116746
5.7133126,6.947933
5.016034,7.451152
6.1802697,7.1736083
7.1024556,10.8350725
5.277764,6.272319
7.160844,6.3534117
4.1778836,9.253307
6.7638893,9.074196
3.83822,7.9229336
5.5189414,7.2132187
4.7861695,7.2228274
5.2807965,4.8469343
3.9073236,7.792882
4.351512,9.910009
6.2138495,9.785648
2.8262236,9.004741
3.6755009,6.0451055
7.0296373,10.369641
3.955948,8.469575
5.13377,9.173772
5.471318,8.860463
7.989397,6.6755033
